z,V_fem,V_analitico
0.0000000000,-1.0001968883,-1.0000000000
0.0063291139,-0.9925828172,-0.9992093972
0.0126582278,-0.9849687461,-0.9968388390
0.0189873418,-0.9773546750,-0.9928920737
0.0253164557,-0.9697406039,-0.9873753419
0.0316455696,-0.9621265328,-0.9802973668
0.0379746835,-0.9545124617,-0.9716693400
0.0443037975,-0.9468983905,-0.9615049043
0.0506329114,-0.9392843194,-0.9498201317
0.0569620253,-0.9316702483,-0.9366334983
0.0632911392,-0.9222957548,-0.9219658547
0.0696202532,-0.9005983042,-0.9058403937
0.0759493671,-0.8789008535,-0.8882826127
0.0822784810,-0.8572034029,-0.8693202744
0.0886075949,-0.8355059522,-0.8489833621
0.0949367089,-0.8138085016,-0.8273040325
0.1012658228,-0.7921110510,-0.8043165653
0.1075949367,-0.7704136003,-0.7800573082
0.1139240506,-0.7487161497,-0.7545646202
0.1202531646,-0.7270186990,-0.7278788104
0.1265822785,-0.7026159472,-0.7000420746
0.1329113924,-0.6700972919,-0.6710984284
0.1392405063,-0.6375786366,-0.6410936376
0.1455696203,-0.6050599813,-0.6100751460
0.1518987342,-0.5725413260,-0.5780920002
0.1582278481,-0.5400226707,-0.5451947722
0.1645569620,-0.5075040154,-0.5114354791
0.1708860759,-0.4749853601,-0.4768675014
0.1772151899,-0.4424667048,-0.4415454982
0.1835443038,-0.4099480495,-0.4055253208
0.1898734177,-0.3752048641,-0.3688639245
0.1962025316,-0.3367541288,-0.3316192786
0.2025316456,-0.2983033934,-0.2938502743
0.2088607595,-0.2598526581,-0.2556166324
0.2151898734,-0.2214019227,-0.2169788081
0.2215189873,-0.1829511874,-0.1779978957
0.2278481013,-0.1445004520,-0.1387355320
0.2341772152,-0.1060497167,-0.0992537989
0.2405063291,-0.0675989813,-0.0596151252
0.2468354430,-0.0291482460,-0.0198821877
0.2531645570,0.0093780280,0.0198821877
0.2594936709,0.0479798406,0.0596151252
0.2658227848,0.0865816532,0.0992537989
0.2721518987,0.1251834659,0.1387355320
0.2784810127,0.1637852785,0.1779978957
0.2848101266,0.2023870911,0.2169788081
0.2911392405,0.2409889037,0.2556166324
0.2974683544,0.2795907163,0.2938502743
0.3037974684,0.3181925289,0.3316192786
0.3101265823,0.3567943415,0.3688639245
0.3164556962,0.3918632543,0.4055253208
0.3227848101,0.4248124271,0.4415454982
0.3291139241,0.4577616000,0.4768675014
0.3354430380,0.4907107729,0.5114354791
0.3417721519,0.5236599457,0.5451947722
0.3481012658,0.5566091186,0.5780920002
0.3544303797,0.5895582915,0.6100751460
0.3607594937,0.6225074643,0.6410936376
0.3670886076,0.6554566372,0.6710984284
0.3734177215,0.6884058101,0.7000420746
0.3797468354,0.7134001140,0.7278788104
0.3860759494,0.7357427949,0.7545646202
0.3924050633,0.7580854758,0.7800573082
0.3987341772,0.7804281567,0.8043165653
0.4050632911,0.8027708377,0.8273040325
0.4113924051,0.8251135186,0.8489833621
0.4177215190,0.8474561995,0.8693202744
0.4240506329,0.8697988804,0.8882826127
0.4303797468,0.8921415613,0.9058403937
0.4367088608,0.9144842423,0.9219658547
0.4430379747,0.9246069566,0.9366334983
0.4493670886,0.9329839614,0.9498201317
0.4556962025,0.9413609662,0.9615049043
0.4620253165,0.9497379711,0.9716693400
0.4683544304,0.9581149759,0.9802973668
0.4746835443,0.9664919807,0.9873753419
0.4810126582,0.9748689855,0.9928920737
0.4873417722,0.9832459904,0.9968388390
0.4936708861,0.9916229952,0.9992093972
0.5000000000,1.0000000000,1.0000000000
