rank,kc,internal_index,relative_error
1,0.0000000000e+00,0,-1.0000000000e+00
2,0.0000000000e+00,1,-1.0000000000e+00
3,0.0000000000e+00,2,-1.0000000000e+00
4,0.0000000000e+00,3,-1.0000000000e+00
5,0.0000000000e+00,4,-1.0000000000e+00
6,0.0000000000e+00,5,-1.0000000000e+00
7,0.0000000000e+00,6,-1.0000000000e+00
8,0.0000000000e+00,7,-1.0000000000e+00
9,0.0000000000e+00,8,-1.0000000000e+00
10,0.0000000000e+00,9,-1.0000000000e+00
11,0.0000000000e+00,10,-1.0000000000e+00
12,0.0000000000e+00,11,-1.0000000000e+00
13,0.0000000000e+00,12,-1.0000000000e+00
14,0.0000000000e+00,13,-1.0000000000e+00
15,0.0000000000e+00,14,-1.0000000000e+00
16,0.0000000000e+00,15,-1.0000000000e+00
17,0.0000000000e+00,16,-1.0000000000e+00
18,0.0000000000e+00,17,-1.0000000000e+00
19,0.0000000000e+00,18,-1.0000000000e+00
20,0.0000000000e+00,19,-1.0000000000e+00
21,0.0000000000e+00,20,-1.0000000000e+00
22,1.3743187381e+02,21,3.1825187603e-05
23,2.7497281210e+02,22,4.2863249582e-04
24,3.0911213614e+02,23,3.2255946411e-04
25,3.3877548649e+02,24,1.1806680913e-03
26,4.1245446878e+02,25,4.1711280457e-04
27,4.1625616622e+02,26,6.1506765835e-03
28,5.2095949123e+02,27,1.0878687576e-02
29,5.3268772335e+02,28,3.0965922499e-02
30,5.9083613546e+02,29,-1.0000000000e+00
31,6.1202506724e+02,30,-1.0000000000e+00
32,6.3534756301e+02,31,-1.0000000000e+00
33,6.7300043838e+02,32,-1.0000000000e+00
34,7.0581258009e+02,33,-1.0000000000e+00
35,7.6081737748e+02,34,-1.0000000000e+00
36,7.6374239966e+02,35,-1.0000000000e+00
37,8.4492986285e+02,36,-1.0000000000e+00
38,8.8883995459e+02,37,-1.0000000000e+00
39,8.9396121122e+02,38,-1.0000000000e+00
40,9.1267601108e+02,39,-1.0000000000e+00
41,9.5020693433e+02,40,-1.0000000000e+00
42,9.5804347175e+02,41,-1.0000000000e+00
43,1.0051488115e+03,42,-1.0000000000e+00
44,1.0283116933e+03,43,-1.0000000000e+00
45,1.0521546077e+03,44,-1.0000000000e+00
46,1.0582221692e+03,45,-1.0000000000e+00
47,1.0785192774e+03,46,-1.0000000000e+00
48,1.1226536535e+03,47,-1.0000000000e+00
49,1.1286389911e+03,48,-1.0000000000e+00
50,1.2592428792e+03,49,-1.0000000000e+00
51,1.2616539694e+03,50,-1.0000000000e+00
52,1.3029434246e+03,51,-1.0000000000e+00
53,1.3581634003e+03,52,-1.0000000000e+00
54,1.3975376815e+03,53,-1.0000000000e+00
55,1.4304776412e+03,54,-1.0000000000e+00
56,1.4661719593e+03,55,-1.0000000000e+00
57,1.4923100515e+03,56,-1.0000000000e+00
58,1.5114123248e+03,57,-1.0000000000e+00
59,1.5174983657e+03,58,-1.0000000000e+00
60,1.5339029440e+03,59,-1.0000000000e+00
61,1.6446702336e+03,60,-1.0000000000e+00
62,1.6701715839e+03,61,-1.0000000000e+00
63,1.7289669386e+03,62,-1.0000000000e+00
64,1.7386278429e+03,63,-1.0000000000e+00
65,1.7496366198e+03,64,-1.0000000000e+00
66,1.7909482364e+03,65,-1.0000000000e+00
67,1.8118248562e+03,66,-1.0000000000e+00
68,1.8190443028e+03,67,-1.0000000000e+00
