rank,kc,relative_error
1,0.0000000000e+00,-1.0000000000e+00
2,0.0000000000e+00,-1.0000000000e+00
3,0.0000000000e+00,-1.0000000000e+00
4,0.0000000000e+00,-1.0000000000e+00
5,0.0000000000e+00,-1.0000000000e+00
6,0.0000000000e+00,-1.0000000000e+00
7,0.0000000000e+00,-1.0000000000e+00
8,0.0000000000e+00,-1.0000000000e+00
9,0.0000000000e+00,-1.0000000000e+00
10,5.2494674257e+00,2.5739976063e-03
11,7.0474570922e+00,3.2238725595e-03
12,7.4577257303e+00,1.2411426910e-02
13,7.5659503895e+00,1.9202126088e-03
14,8.2685082394e+00,1.0959733971e-02
15,8.4635941911e+00,3.4812167345e-02
16,8.7971381688e+00,9.9745808446e-03
17,9.7016348704e+00,8.4313507201e-02
18,9.9648443067e+00,-1.0000000000e+00
19,1.0194712394e+01,-1.0000000000e+00
20,1.0872158141e+01,-1.0000000000e+00
21,1.0941805327e+01,-1.0000000000e+00
22,1.1267267250e+01,-1.0000000000e+00
23,1.1624359522e+01,-1.0000000000e+00
24,1.2222818667e+01,-1.0000000000e+00
25,1.2400247663e+01,-1.0000000000e+00
26,1.2484627928e+01,-1.0000000000e+00
27,1.2517446127e+01,-1.0000000000e+00
28,1.2783387009e+01,-1.0000000000e+00
29,1.2836280429e+01,-1.0000000000e+00
30,1.3608823702e+01,-1.0000000000e+00
31,1.3770669968e+01,-1.0000000000e+00
32,1.3842996628e+01,-1.0000000000e+00
33,1.4147268111e+01,-1.0000000000e+00
34,1.4448833549e+01,-1.0000000000e+00
35,1.4599639302e+01,-1.0000000000e+00
36,1.4710575019e+01,-1.0000000000e+00
37,1.5025890559e+01,-1.0000000000e+00
38,1.5280219491e+01,-1.0000000000e+00
39,1.5387970012e+01,-1.0000000000e+00
40,1.5539686573e+01,-1.0000000000e+00
41,1.5760848222e+01,-1.0000000000e+00
42,1.5828889123e+01,-1.0000000000e+00
43,1.6194123836e+01,-1.0000000000e+00
44,1.6546204860e+01,-1.0000000000e+00
45,1.6787232669e+01,-1.0000000000e+00
46,1.6926686331e+01,-1.0000000000e+00
47,1.6989282693e+01,-1.0000000000e+00
48,1.7096600470e+01,-1.0000000000e+00
49,1.7364371693e+01,-1.0000000000e+00
50,1.7892793734e+01,-1.0000000000e+00
51,1.8040374439e+01,-1.0000000000e+00
52,1.8208610385e+01,-1.0000000000e+00
53,1.8410176130e+01,-1.0000000000e+00
54,1.8513491585e+01,-1.0000000000e+00
55,1.8911225800e+01,-1.0000000000e+00
56,1.8950834022e+01,-1.0000000000e+00
57,1.9235819932e+01,-1.0000000000e+00
58,1.9417127681e+01,-1.0000000000e+00
59,1.9966460702e+01,-1.0000000000e+00
60,1.9993334388e+01,-1.0000000000e+00
61,2.0451427982e+01,-1.0000000000e+00
62,2.0729655279e+01,-1.0000000000e+00
63,2.0769320258e+01,-1.0000000000e+00
64,2.1063353300e+01,-1.0000000000e+00
65,2.1248457940e+01,-1.0000000000e+00
66,2.1358144258e+01,-1.0000000000e+00
67,2.1949471210e+01,-1.0000000000e+00
68,2.2217636018e+01,-1.0000000000e+00
69,2.2673936269e+01,-1.0000000000e+00
70,2.3726374668e+01,-1.0000000000e+00
71,2.3923536851e+01,-1.0000000000e+00
72,2.4057357174e+01,-1.0000000000e+00
73,2.5393580179e+01,-1.0000000000e+00
74,2.5668919575e+01,-1.0000000000e+00
75,2.5736114556e+01,-1.0000000000e+00
76,2.6090599674e+01,-1.0000000000e+00
77,2.7439029704e+01,-1.0000000000e+00
78,2.7641718804e+01,-1.0000000000e+00
79,2.8166566079e+01,-1.0000000000e+00
80,2.8295867358e+01,-1.0000000000e+00
81,3.0529029687e+01,-1.0000000000e+00
82,3.0737870396e+01,-1.0000000000e+00
